type_arrow,layout,type_label,type_color,model,prompt_strategy,mean_mae,mean_similarity
directed,spectral,label,constant_color,claude-3.5-sonnet,cot,0.7051739926739927,0.8553942923990207
directed,spectral,label,constant_color,claude-3.5-sonnet,zeroshot,0.709714590964591,0.8577808582867306
directed,spectral,label,constant_color,qwen-2-vl-72b-instruct,cot,0.6377045177045177,0.807224866786046
directed,spectral,label,constant_color,qwen-2-vl-72b-instruct,zeroshot,0.6623031135531136,0.8312399256734799
directed,spectral,label,constant_color,gemini-pro-1.5,cot,0.7802701465201467,0.8936859619549921
directed,spectral,label,constant_color,gemini-pro-1.5,zeroshot,0.7639774114774115,0.8835250132228192
directed,spectral,label,constant_color,gpt-4o-2024-08-06,cot,0.766820818070818,0.8864799946224936
directed,spectral,label,constant_color,gpt-4o-2024-08-06,zeroshot,0.7437652625152625,0.8775954252445031
directed,spectral,label,constant_color,pixtral-12b,cot,0.6458424908424908,0.8262017027183941
directed,spectral,label,constant_color,pixtral-12b,zeroshot,0.7314713064713065,0.8623275841263626
directed,spectral,label,constant_color,llama-3.2-90b-vision-instruct,cot,0.5955173992673993,0.8001168332945827
directed,spectral,label,constant_color,llama-3.2-90b-vision-instruct,zeroshot,0.5082646520146521,0.7084799723578497
directed,circular,unlabel,random_color,claude-3.5-sonnet,cot,0.804858474858475,0.9105246191361921
directed,circular,unlabel,random_color,claude-3.5-sonnet,zeroshot,0.8230244755244757,0.9150162669811008
directed,circular,unlabel,random_color,qwen-2-vl-72b-instruct,cot,0.6042457542457542,0.8127975692253188
directed,circular,unlabel,random_color,qwen-2-vl-72b-instruct,zeroshot,0.6048892773892774,0.7919207991496995
directed,circular,unlabel,random_color,gemini-pro-1.5,cot,0.8415651015651016,0.9308127816343928
directed,circular,unlabel,random_color,gemini-pro-1.5,zeroshot,0.894898434898435,0.9499794483010596
directed,circular,unlabel,random_color,gpt-4o-2024-08-06,cot,0.7002763902763902,0.8692218656237198
directed,circular,unlabel,random_color,gpt-4o-2024-08-06,zeroshot,0.45688644688644686,0.7659978493373634
directed,circular,unlabel,random_color,pixtral-12b,cot,0.655834165834166,0.8282723051671261
directed,circular,unlabel,random_color,pixtral-12b,zeroshot,0.7060456210456211,0.8554123542697714
directed,circular,unlabel,random_color,llama-3.2-90b-vision-instruct,cot,0.7178296703296704,0.8485734145436832
directed,circular,unlabel,random_color,llama-3.2-90b-vision-instruct,zeroshot,0.7089269064269065,0.8358536954307414
directed,circular,unlabel,constant_color,claude-3.5-sonnet,cot,0.8394655344655346,0.9366160542991206
directed,circular,unlabel,constant_color,claude-3.5-sonnet,zeroshot,0.7773538961038962,0.9163856722912451
directed,circular,unlabel,constant_color,qwen-2-vl-72b-instruct,cot,0.6523581973581973,0.8307835328847577
directed,circular,unlabel,constant_color,qwen-2-vl-72b-instruct,zeroshot,0.6934140859140859,0.8698262988712578
directed,circular,unlabel,constant_color,gemini-pro-1.5,cot,0.8980766455766457,0.9681047023899361
directed,circular,unlabel,constant_color,gemini-pro-1.5,zeroshot,0.8730766455766454,0.9531047023899359
directed,circular,unlabel,constant_color,gpt-4o-2024-08-06,cot,0.625548063048063,0.825520775607934
directed,circular,unlabel,constant_color,gpt-4o-2024-08-06,zeroshot,0.61003219003219,0.8147933442845275
directed,circular,unlabel,constant_color,pixtral-12b,cot,0.7199231324231324,0.8871119284687733
directed,circular,unlabel,constant_color,pixtral-12b,zeroshot,0.6822133422133422,0.858513241368942
directed,circular,unlabel,constant_color,llama-3.2-90b-vision-instruct,cot,0.8155562493062494,0.9120809463789676
directed,circular,unlabel,constant_color,llama-3.2-90b-vision-instruct,zeroshot,0.7110819735819736,0.8788342149841005
directed,circular,label,random_color,claude-3.5-sonnet,cot,0.8559920634920635,0.9308668496106576
directed,circular,label,random_color,claude-3.5-sonnet,zeroshot,0.9036111111111111,0.9492037480063795
directed,circular,label,random_color,qwen-2-vl-72b-instruct,cot,0.8088492063492063,0.9187721643681398
directed,circular,label,random_color,qwen-2-vl-72b-instruct,zeroshot,0.5380555555555556,0.7729484473215125
directed,circular,label,random_color,gemini-pro-1.5,cot,0.8848015873015873,0.9465733769584389
directed,circular,label,random_color,gemini-pro-1.5,zeroshot,0.8686904761904763,0.9388102190637021
directed,circular,label,random_color,gpt-4o-2024-08-06,cot,0.780079365079365,0.8894152828595553
directed,circular,label,random_color,gpt-4o-2024-08-06,zeroshot,0.8107936507936507,0.9061974036025895
directed,circular,label,random_color,pixtral-12b,cot,0.6374603174603174,0.8167318815085842
directed,circular,label,random_color,pixtral-12b,zeroshot,0.6248809523809523,0.8236947884416924
directed,circular,label,random_color,llama-3.2-90b-vision-instruct,cot,0.6718253968253969,0.7873347405948026
directed,circular,label,random_color,llama-3.2-90b-vision-instruct,zeroshot,0.658611111111111,0.7640521038558964
directed,circular,label,constant_color,claude-3.5-sonnet,cot,0.6792823842823843,0.9004378688234187
directed,circular,label,constant_color,claude-3.5-sonnet,zeroshot,0.6330144855144855,0.8770817141085683
directed,circular,label,constant_color,qwen-2-vl-72b-instruct,cot,0.7805178155178156,0.9202556991175918
directed,circular,label,constant_color,qwen-2-vl-72b-instruct,zeroshot,0.41625874125874124,0.7562442842749748
directed,circular,label,constant_color,gemini-pro-1.5,cot,0.674584582084582,0.8982882718304713
directed,circular,label,constant_color,gemini-pro-1.5,zeroshot,0.7237878787878788,0.9193391902215431
directed,circular,label,constant_color,gpt-4o-2024-08-06,cot,0.7256127206127206,0.9011511442521674
directed,circular,label,constant_color,gpt-4o-2024-08-06,zeroshot,0.5733041958041959,0.8378988551942517
directed,circular,label,constant_color,pixtral-12b,cot,0.5270113220113222,0.8208856329092903
directed,circular,label,constant_color,pixtral-12b,zeroshot,0.42662670662670665,0.7559021019474984
directed,circular,label,constant_color,llama-3.2-90b-vision-instruct,cot,0.7078879453879454,0.8904909295734104
directed,circular,label,constant_color,llama-3.2-90b-vision-instruct,zeroshot,0.677401764901765,0.8818678518838364
directed,kamada,unlabel,random_color,claude-3.5-sonnet,cot,0.6902976190476192,0.858288770053476
directed,kamada,unlabel,random_color,claude-3.5-sonnet,zeroshot,0.7160119047619047,0.8709347147950088
directed,kamada,unlabel,random_color,qwen-2-vl-72b-instruct,cot,0.7349404761904761,0.8722274212715388
directed,kamada,unlabel,random_color,qwen-2-vl-72b-instruct,zeroshot,0.7358333333333333,0.8696516636957814
directed,kamada,unlabel,random_color,gemini-pro-1.5,cot,0.8451785714285716,0.9310004456327986
directed,kamada,unlabel,random_color,gemini-pro-1.5,zeroshot,0.8380952380952381,0.9279953951277482
directed,kamada,unlabel,random_color,gpt-4o-2024-08-06,cot,0.800297619047619,0.9042160576351753
directed,kamada,unlabel,random_color,gpt-4o-2024-08-06,zeroshot,0.8563095238095239,0.9383559863339276
directed,kamada,unlabel,random_color,pixtral-12b,cot,0.7620238095238095,0.8801433452168747
directed,kamada,unlabel,random_color,pixtral-12b,zeroshot,0.6835714285714285,0.8448165478312537
directed,kamada,unlabel,random_color,llama-3.2-90b-vision-instruct,cot,0.6100595238095239,0.7951407456922162
directed,kamada,unlabel,random_color,llama-3.2-90b-vision-instruct,zeroshot,0.5602380952380952,0.7328160279263221
directed,kamada,unlabel,constant_color,claude-3.5-sonnet,cot,0.7094093406593407,0.8597540139244103
directed,kamada,unlabel,constant_color,claude-3.5-sonnet,zeroshot,0.7842902930402931,0.8958242753623189
directed,kamada,unlabel,constant_color,qwen-2-vl-72b-instruct,cot,0.595,0.7904953466894005
directed,kamada,unlabel,constant_color,qwen-2-vl-72b-instruct,zeroshot,0.6820970695970695,0.8487102159704462
directed,kamada,unlabel,constant_color,gemini-pro-1.5,cot,0.8284981684981684,0.9246145922136971
directed,kamada,unlabel,constant_color,gemini-pro-1.5,zeroshot,0.8192124542124543,0.9212322392725207
directed,kamada,unlabel,constant_color,gpt-4o-2024-08-06,cot,0.8294001831501834,0.9173779838022165
directed,kamada,unlabel,constant_color,gpt-4o-2024-08-06,zeroshot,0.8503663003663003,0.9333965615231602
directed,kamada,unlabel,constant_color,pixtral-12b,cot,0.6498580586080586,0.8149159917590223
directed,kamada,unlabel,constant_color,pixtral-12b,zeroshot,0.7538736263736265,0.8645382210855358
directed,kamada,unlabel,constant_color,llama-3.2-90b-vision-instruct,cot,0.6064468864468864,0.7568094629156011
directed,kamada,unlabel,constant_color,llama-3.2-90b-vision-instruct,zeroshot,0.6501236263736264,0.7819591858482524
directed,kamada,label,random_color,claude-3.5-sonnet,cot,0.7520069112174376,0.8867398661265428
directed,kamada,label,random_color,claude-3.5-sonnet,zeroshot,0.7230386572491836,0.8893322685641467
directed,kamada,label,random_color,qwen-2-vl-72b-instruct,cot,0.8038049669628616,0.9078268912682279
directed,kamada,label,random_color,qwen-2-vl-72b-instruct,zeroshot,0.8085811118705856,0.9225414344027559
directed,kamada,label,random_color,gemini-pro-1.5,cot,0.8431068200805043,0.9370587021248922
directed,kamada,label,random_color,gemini-pro-1.5,zeroshot,0.8642249563302196,0.9481018341112287
directed,kamada,label,random_color,gpt-4o-2024-08-06,cot,0.8766831852358168,0.9490075393806577
directed,kamada,label,random_color,gpt-4o-2024-08-06,zeroshot,0.8269319131161236,0.9351565510394378
directed,kamada,label,random_color,pixtral-12b,cot,0.5410543403964455,0.8136131686185065
directed,kamada,label,random_color,pixtral-12b,zeroshot,0.6595171641224272,0.8560772646093453
directed,kamada,label,random_color,llama-3.2-90b-vision-instruct,cot,0.483995025442394,0.7186021609791227
directed,kamada,label,random_color,llama-3.2-90b-vision-instruct,zeroshot,0.5839067365383153,0.7841768967305425
directed,kamada,label,constant_color,claude-3.5-sonnet,cot,0.7883612221112222,0.900366889890968
directed,kamada,label,constant_color,claude-3.5-sonnet,zeroshot,0.7973203185703186,0.9086267979731939
directed,kamada,label,constant_color,qwen-2-vl-72b-instruct,cot,0.834102702852703,0.9226359390056558
directed,kamada,label,constant_color,qwen-2-vl-72b-instruct,zeroshot,0.8010535298035298,0.9135670551592108
directed,kamada,label,constant_color,gemini-pro-1.5,cot,0.8887506937506938,0.949533261435772
directed,kamada,label,constant_color,gemini-pro-1.5,zeroshot,0.8893062493062495,0.9496648403831405
directed,kamada,label,constant_color,gpt-4o-2024-08-06,cot,0.915347152847153,0.9615140592850413
directed,kamada,label,constant_color,gpt-4o-2024-08-06,zeroshot,0.9093917193917193,0.9568124194757994
directed,kamada,label,constant_color,pixtral-12b,cot,0.6783488733488734,0.8532702333412387
directed,kamada,label,constant_color,pixtral-12b,zeroshot,0.8707042957042959,0.9439817174009193
directed,kamada,label,constant_color,llama-3.2-90b-vision-instruct,cot,0.7054180541680541,0.8683668570402989
directed,kamada,label,constant_color,llama-3.2-90b-vision-instruct,zeroshot,0.6852269952269954,0.7952716109327026
directed,spring,unlabel,random_color,claude-3.5-sonnet,cot,0.6549007936507937,0.8660071180969015
directed,spring,unlabel,random_color,claude-3.5-sonnet,zeroshot,0.6828373015873016,0.879204142520706
directed,spring,unlabel,random_color,qwen-2-vl-72b-instruct,cot,0.6507936507936508,0.8488519091847266
directed,spring,unlabel,random_color,qwen-2-vl-72b-instruct,zeroshot,0.7172619047619049,0.8947957752601715
directed,spring,unlabel,random_color,gemini-pro-1.5,cot,0.7902579365079364,0.9220564750866609
directed,spring,unlabel,random_color,gemini-pro-1.5,zeroshot,0.7982936507936508,0.9263865404461381
directed,spring,unlabel,random_color,gpt-4o-2024-08-06,cot,0.8478571428571428,0.9314588365710657
directed,spring,unlabel,random_color,gpt-4o-2024-08-06,zeroshot,0.8225396825396825,0.9249984453970521
directed,spring,unlabel,random_color,pixtral-12b,cot,0.5538690476190476,0.8028696174826205
directed,spring,unlabel,random_color,pixtral-12b,zeroshot,0.7109920634920635,0.8871097521329719
directed,spring,unlabel,random_color,llama-3.2-90b-vision-instruct,cot,0.4112103174603174,0.29913556988247403
directed,spring,unlabel,random_color,llama-3.2-90b-vision-instruct,zeroshot,0.46238095238095234,0.7269193061840121
directed,spring,unlabel,constant_color,claude-3.5-sonnet,cot,0.5643073593073593,0.8430748667397274
directed,spring,unlabel,constant_color,claude-3.5-sonnet,zeroshot,0.5828427128427128,0.8493814950529348
directed,spring,unlabel,constant_color,qwen-2-vl-72b-instruct,cot,0.5923412698412699,0.8424051045703523
directed,spring,unlabel,constant_color,qwen-2-vl-72b-instruct,zeroshot,0.5779527417027417,0.848110324702817
directed,spring,unlabel,constant_color,gemini-pro-1.5,cot,0.6829256854256853,0.8811614338104276
directed,spring,unlabel,constant_color,gemini-pro-1.5,zeroshot,0.6766756854256853,0.8833836560326498
directed,spring,unlabel,constant_color,gpt-4o-2024-08-06,cot,0.70995670995671,0.9080482398148808
directed,spring,unlabel,constant_color,gpt-4o-2024-08-06,zeroshot,0.6855880230880231,0.8978278972919067
directed,spring,unlabel,constant_color,pixtral-12b,cot,0.6985768398268399,0.8779939833558255
directed,spring,unlabel,constant_color,pixtral-12b,zeroshot,0.5924386724386724,0.8329976705441103
directed,spring,unlabel,constant_color,llama-3.2-90b-vision-instruct,cot,0.7021789321789321,0.9066781822838325
directed,spring,unlabel,constant_color,llama-3.2-90b-vision-instruct,zeroshot,0.6093921356421356,0.8632769449332918
directed,spring,label,random_color,claude-3.5-sonnet,cot,0.7404193029193029,0.8847636212555784
directed,spring,label,random_color,claude-3.5-sonnet,zeroshot,0.753392440892441,0.8916524465797586
directed,spring,label,random_color,qwen-2-vl-72b-instruct,cot,0.7991855366855367,0.9127526265743052
directed,spring,label,random_color,qwen-2-vl-72b-instruct,zeroshot,0.8523434898434898,0.936621062788784
directed,spring,label,random_color,gemini-pro-1.5,cot,0.8987110112110113,0.960398315284572
directed,spring,label,random_color,gemini-pro-1.5,zeroshot,0.8597000222000222,0.9474636849106833
directed,spring,label,random_color,gpt-4o-2024-08-06,cot,0.8429986679986682,0.9288767179112447
directed,spring,label,random_color,gpt-4o-2024-08-06,zeroshot,0.8584110334110335,0.9362246914255934
directed,spring,label,random_color,pixtral-12b,cot,0.6632867132867133,0.8463751333133148
directed,spring,label,random_color,pixtral-12b,zeroshot,0.7898365523365524,0.8984429177409391
directed,spring,label,random_color,llama-3.2-90b-vision-instruct,cot,0.6015942390942391,0.8224836486257943
directed,spring,label,random_color,llama-3.2-90b-vision-instruct,zeroshot,0.5718711843711844,0.80400483736885
directed,spring,label,constant_color,claude-3.5-sonnet,cot,0.7664880952380952,0.9111598344465992
directed,spring,label,constant_color,claude-3.5-sonnet,zeroshot,0.7685714285714286,0.9128820566688214
